latitude,longitude,sample_date,satellite_date,precip_3d_mm,wind_speed_ms,solar_rad_wm2
36.03000025835226,-78.70617915933926,2021-12-14,2021-10-17,4.55,0.29,4.7374
37.263900406356534,-120.90599675388768,2021-11-29,2021-10-16,0.01,0.89,4.5977
35.97000305367814,-78.62999541784113,2021-12-07,2021-10-15,0.1,0.33,4.7597
37.263900406356534,-120.90599675388768,2021-11-29,2021-10-13,0.13,1.58,4.907
35.97000305367814,-78.62999541784113,2021-12-07,2021-10-05,2.9,0.2,4.5804
36.03000025835226,-78.70518477980434,2021-11-18,2021-09-27,0.06,0.42,5.6306
36.03000025835226,-78.7046898195874,2021-11-18,2021-09-27,0.06,0.42,5.6306
37.320401675804746,-120.98300096997968,2021-10-26,2021-09-16,0.49,2.57,5.9047
37.295301395974896,-120.84999936285853,2021-10-26,2021-09-16,0.18,1.93,5.9047
37.263900406356534,-120.90599675388768,2021-10-28,2021-09-16,0.18,1.93,5.9047
37.13660198948275,-120.76199900356876,2021-10-26,2021-09-16,0.23,2.57,5.9047
37.2764037257104,-120.95400343582908,2021-10-26,2021-09-16,0.49,2.57,5.9047
37.4052985007613,-121.0230035655301,2021-10-26,2021-09-16,0.49,2.57,6.2806
37.26159951021295,-120.90599675388768,2021-10-26,2021-09-16,0.18,1.93,5.9047
37.24860123064216,-120.85099820149448,2021-10-26,2021-09-16,0.23,2.57,5.9047
37.11449822556084,-120.88999749930792,2021-10-26,2021-09-16,0.23,2.57,5.9047
37.006200038275786,-120.59999986229708,2021-10-26,2021-09-16,0.23,2.57,5.9047
37.61430102623736,-97.62981031017608,2021-10-25,2021-09-14,8.83,2.24,5.117
41.955298329181666,-73.44480110345845,2021-11-02,2021-09-14,2.9400000000000004,0.07,4.11
37.4052985007613,-121.0230035655301,2021-10-26,2021-09-13,0.14,2.03,6.48
37.2764037257104,-120.95400343582908,2021-10-26,2021-09-13,0.14,2.03,6.4603
37.42199783420646,-95.19710313945812,2021-10-25,2021-09-13,0.45000000000000007,3.64,5.7367
37.26159951021295,-120.90599675388768,2021-10-26,2021-09-13,0.16999999999999998,1.56,6.4603
37.006200038275786,-120.59999986229708,2021-10-26,2021-09-13,0.01,2.28,6.4603
37.13660198948275,-120.76199900356876,2021-10-26,2021-09-13,0.01,2.28,6.4603
37.295301395974896,-120.84999936285853,2021-10-26,2021-09-13,0.16999999999999998,1.56,6.4603
37.11449822556084,-120.88999749930792,2021-10-26,2021-09-13,0.01,2.28,6.4603
37.24860123064216,-120.85099820149448,2021-10-26,2021-09-13,0.01,2.28,6.4603
37.320401675804746,-120.98300096997968,2021-10-26,2021-09-13,0.14,2.03,6.4603
39.27623474346296,-94.89210954560454,2021-10-25,2021-09-11,0.02,3.79,4.9198
38.96950210019853,-94.75820274096957,2021-10-25,2021-09-11,0.0,4.12,5.0822
38.97249861610644,-94.67292689242346,2021-10-25,2021-09-11,0.0,4.16,5.0822
37.42199783420646,-95.19710313945812,2021-10-25,2021-09-11,0.41000000000000003,4.4,5.3575
37.61430102623736,-97.62981031017608,2021-10-25,2021-09-11,0.0,4.79,5.6093
36.03000025835226,-78.70419040026941,2021-10-27,2021-09-10,23.84,0.36,6.4282
36.03000025835226,-78.70369544005248,2021-10-27,2021-09-10,23.84,0.36,6.4282
37.74668281831205,-97.77935964130651,2021-10-18,2021-09-09,1.23,2.93,6.1488
36.06000109023984,-75.99999978011454,2021-10-28,2021-09-09,11.91,1.89,2.7655
37.78240021775017,-97.53105014004431,2021-10-18,2021-09-09,1.06,2.75,6.1488
39.11775383292243,-94.63771783050544,2021-10-18,2021-09-08,4.45,2.37,6.6079
36.03000025835226,-78.70369544005248,2021-10-27,2021-09-07,0.12,0.22,6.5626
36.03000025835226,-78.70419040026941,2021-10-27,2021-09-07,0.12,0.22,6.5626
38.55803855049181,-97.84001233383547,2021-10-18,2021-09-06,51.75,3.72,6.209
39.11775383292243,-94.63771783050544,2021-10-18,2021-09-06,55.88,2.41,6.2402
37.74668281831205,-97.77935964130651,2021-10-18,2021-09-06,42.309999999999995,2.99,6.4476
